Time: 2024-04-08 16:04:43.494598 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 16:06:06.043791 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 3]
Time: 2024-04-08 16:07:01.271187 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 16:08:03.848213 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 3]
Time: 2024-04-08 16:19:46.000336 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 16:20:09.441201 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 3]
Time: 2024-04-08 16:21:33.827909 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 16:23:43.213371 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 23:07:43.855328 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 23:12:52.430741 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 23:17:29.348361 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 23:18:13.039296 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-08 23:22:35.720960 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-08 23:22:54.074566 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-09 23:06:25.379307 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-09 23:06:35.608859 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-09 23:08:06.373234 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-09 23:08:22.981047 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-09 23:09:31.604692 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-09 23:09:51.418140 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-09 23:10:14.363940 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-09 23:12:48.311586 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-09 23:30:09.633100 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-09 23:30:22.171619 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-11 10:00:42.517461 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-11 10:01:12.818656 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-11 10:02:12.256159 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-11 10:05:30.371436 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-11 10:19:19.144232 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-11 10:21:05.166448 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2024-04-11 10:35:35.388105 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2024-04-11 10:36:55.960776 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 04/23/2024 17:08 | Guild: 1058918601987469404 | User: 403248917657157632 | Cmd: WipeEvent | Flags: [2, 3]
Time: 04/23/2024 17:11 | Guild: 1058918601987469404 | User: 403248917657157632 | Cmd: WipeEvent | Flags: [2, 2]
Time: 05/24/2024 17:02 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 05/28/2024 16:19 | Guild: bugs | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 05/29/2024 08:56 | Guild: bugs | Cmd: channelSetup | Flags: [2, 2, 2, 2]
