Time: 2024-04-05 18:57:10.335874 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-05 18:58:35.521725 | Guild: 1058918601987469404 | User: None | Cmd: Bretrieve | Flags: [2, 2, 2]
Time: 2024-04-05 19:00:13.535020 | Guild: 1058918601987469404 | User: None | Cmd: Bretrieve | Flags: [2, 2, 2]
Time: 2024-04-05 19:00:34.686808 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-06 18:14:23.647666 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-06 18:25:05.586472 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-06 18:34:33.744215 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-06 18:37:08.156769 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-06 18:42:59.127747 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-06 18:49:15.430224 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-06 18:54:23.332561 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-06 19:00:03.179927 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-06 19:03:04.730272 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-07 00:06:07.511188 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 5]
Time: 2024-04-07 00:06:42.734702 | Guild: 1058918601987469404 | User: 9 | Cmd: Acreate | Flags: [2, 2]
Time: 2024-04-07 15:22:48.094898 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:23:19.223588 | Guild: 1058918601987469404 | User: 9 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:23:56.596975 | Guild: 1058918601987469404 | User: 9 | Cmd: Fdelete | Flags: [2, 2, 3]
Time: 2024-04-07 15:28:58.733481 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:29:17.398418 | Guild: 1058918601987469404 | User: 9 | Cmd: Fdelete | Flags: [2, 2, 3]
Time: 2024-04-07 15:32:12.811145 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:32:44.146504 | Guild: 1058918601987469404 | User: 9 | Cmd: Fdelete | Flags: [2, 2, 3]
Time: 2024-04-07 15:34:52.219849 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:35:10.402305 | Guild: 1058918601987469404 | User: 9 | Cmd: Fdelete | Flags: [2, 2, 3]
Time: 2024-04-07 15:37:59.592410 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:38:18.302611 | Guild: 1058918601987469404 | User: 9 | Cmd: Fdelete | Flags: [2, 2, 3]
Time: 2024-04-07 15:43:45.828607 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 15:44:10.853678 | Guild: 1058918601987469404 | User: 9 | Cmd: Fdelete | Flags: [2, 2, 2, 2]
