Time: 2024-04-09 23:40:53.337048 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 1]
Time: 2024-04-10 21:18:31.924298 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDel2']
Time: 2024-04-10 21:29:12.261527 | Guild: 1058918601987469404 | User: 1 | Cmd: Fsc | Flags: [2, 2, 2, 1]
Time: 2024-04-10 21:31:36.619324 | Guild: 1058918601987469404 | User: 1 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2']
Time: 2024-04-11 10:07:55.917909 | Guild: 1058918601987469404 | User: 4 | Cmd: Asc | Flags: [2, 2, 2, 1]
Time: 2024-04-11 10:08:14.419443 | Guild: 1058918601987469404 | User: 4 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2']
Time: 2024-04-11 11:16:23.936338 | Guild: 1058918601987469404 | User: 9 | Cmd: Asc | Flags: [2, 2, 2, 1]
Time: 2024-04-11 11:16:43.282149 | Guild: 1058918601987469404 | User: 9 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2']
Time: 2024-04-11 11:22:01.695904 | Guild: 1058918601987469404 | User: 9 | Cmd: Asc | Flags: [2, 2, 2, 1]
Time: 2024-04-11 11:22:15.405488 | Guild: 1058918601987469404 | User: 9 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2']
Time: 2024-04-14 16:03:29.895152 | Guild: 1058918601987469404 | User: 9 | Cmd: Fsc | Flags: [2, 2, 2, 1]
Time: 2024-04-21 11:30:21.994296 | Guild: 1058918601987469404 | User: 11 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 2]
Time: 2024-04-21 11:47:58.989961 | Guild: 1058918601987469404 | User: 11 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 2]
Time: 2024-04-21 11:48:50.820274 | Guild: 1058918601987469404 | User: 11 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 2]
Time: 2024-04-21 11:53:28.380498 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 1]
Time: 2024-04-21 12:13:40.307985 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2]
Time: 2024-04-21 12:15:54.521498 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2]
Time: 2024-04-21 12:17:35.151024 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2]
Time: 2024-04-21 12:19:10.286647 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2]
Time: 2024-04-21 12:20:18.478931 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2]
Time: 2024-04-21 12:23:25.563161 | Guild: 1058918601987469404 | User: 11 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2, 2]
Time: 2024-04-21 12:23:57.597410 | Guild: 1058918601987469404 | User: 11 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 2, 2]
Time: 2024-04-21 12:28:03.227755 | Guild: 1058918601987469404 | User: 12 | Cmd: Asc | Flags: [2, 2, 2, 1, 2, 2]
Time: 2024-04-21 12:31:31.886028 | Guild: 1058918601987469404 | User: 13 | Cmd: Asc | Flags: [2, 2, 2, 1, 2, 2]
Time: 04/25/2024 08:36 | Guild: 1058918601987469404 | User: 13 | Cmd: Asc | Flags: [2, 2, 2, 1, 2, 2]
Time: 04/25/2024 08:39 | Guild: 1058918601987469404 | User: 13 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 2, 2]
Time: 04/25/2024 08:42 | Guild: 1058918601987469404 | User: 13 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 2, 2]
Time: 04/25/2024 09:55 | Guild: 1058918601987469404 | User: 13 | Cmd: Fsc | Flags: [2, 2, 2, 1, 2, 2]
Time: 04/25/2024 09:58 | Guild: 1058918601987469404 | User: 13 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 2, 2]
Time: 04/27/2024 11:39 | Guild: 1058918601987469404 | User: 14 | Cmd: Asc | Flags: [2, 2, 2, 1, 2, 2]
Time: 04/30/2024 16:42 | Guild: 1058918601987469404 | User: 14 | Cmd: Fsc | Flags: [2, 2, 2, 1, 2, 2]
Time: 05/27/2024 10:32 | Guild: 1058918601987469404 | User: 1 | Cmd: Fsc | Flags: [2, 2, 2, 2, 'subDelF2', 'No EXIF metadata available3', 2, 2]
Time: 05/29/2024 15:42 | Guild: 1053533258706595870 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2, 'subDelA2', 'None2', 2, 2]
Time: 05/29/2024 15:56 | Guild: 1053533258706595870 | User: 1 | Cmd: Fsc | Flags: [2, 2, 2, 3, 'None2', 2, 2]
