Time: 2024-04-16 11:25:11.309106 | Guild: 5 | User: 10 | Cmd: Ascore/Placement | Flags: ['Else Hit']
Time: 2024-04-16 11:26:14.321910 | Guild: 5 | User: 10 | Cmd: Ascore/Placement | Flags: ['Else Hit']
Time: 2024-04-16 13:55:30.035708 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Else Hit']
Time: 2024-04-16 13:55:30.035708 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-16 13:55:30.035708 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-16 13:56:54.320877 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Else Hit']
Time: 2024-04-16 13:56:54.320877 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-16 13:56:54.321874 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-16 13:58:46.076330 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-16 13:58:46.077330 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-16 13:58:46.077330 | Guild: 5 | User: 9 | Cmd: Fscore/Scores | Flags: ['Attribute Error, no match found']
Time: 2024-04-17 20:32:44.471596 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2]
Time: 2024-04-17 20:33:02.382676 | Guild: 5 | User: 10 | Cmd: Ascore/Placement | Flags: ['Else Hit']
Time: 2024-04-21 11:21:22.100696 | Guild: 5 | User: 11 | Cmd: Ascore/Placement | Flags: ['Else Hit']
Time: 2024-04-21 11:24:42.424482 | Guild: 5 | User: 11 | Cmd: Ascore/Placement | Flags: ['Else Hit']
Time: 2024-04-21 11:25:55.934873 | Guild: 5 | User: 11 | Cmd: Ascore/Placement | Flags: ['Else Hit']
Time: 2024-04-21 11:30:21.993296 | Guild: 5 | User: 11 | Cmd: apexReader | Flags: [2]
Time: 2024-04-21 11:30:46.580739 | Guild: 5 | User: 11 | Cmd: Ascore/Kills | Flags: ['Else Hit']
Time: 2024-04-21 11:34:52.343166 | Guild: 5 | User: 11 | Cmd: Ascore/Kills | Flags: ['Else Hit']
Time: 2024-04-21 11:38:31.935375 | Guild: 5 | User: 11 | Cmd: Ascore/Kills | Flags: ['Else Hit']
Time: 2024-04-21 11:40:36.667595 | Guild: 5 | User: 11 | Cmd: Ascore/Kills | Flags: ['Index Error, no match found']
Time: 2024-04-21 11:47:58.988961 | Guild: 5 | User: 11 | Cmd: apexReader | Flags: [2]
Time: 2024-04-21 11:48:50.819275 | Guild: 5 | User: 11 | Cmd: apexReader | Flags: [2]
Time: 2024-04-21 12:23:57.585408 | Guild: 5 | User: 11 | Cmd: apexReader | Flags: [2]
Time: 2024-04-21 12:28:03.216757 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 2024-04-21 12:31:31.875029 | Guild: 5 | User: 13 | Cmd: apexReader | Flags: [2]
Time: 2024-04-23 10:20:35.520819 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 2024-04-23 10:22:11.630575 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 2024-04-23 10:26:18.759157 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 2024-04-23 13:19:08.599393 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 04/24/2024 10:08 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 04/24/2024 10:19 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 04/25/2024 08:32 | Guild: 5 | User: 12 | Cmd: apexReader | Flags: [2]
Time: 04/25/2024 08:36 | Guild: 5 | User: 13 | Cmd: apexReader | Flags: [2]
Time: 04/25/2024 08:39 | Guild: 5 | User: 13 | Cmd: apexReader | Flags: [2]
Time: 04/25/2024 08:42 | Guild: 5 | User: 13 | Cmd: apexReader | Flags: [2]
Time: 04/27/2024 11:39 | Guild: 5 | User: 14 | Cmd: apexReader | Flags: [2]
Time: 04/30/2024 16:06 | Guild: 5 | User: 14 | Cmd: apexReader | Flags: [2]
Time: 04/30/2024 16:49 | Guild: 5 | User: 14 | Cmd: Fscore/Scores | Flags: ['Else Hit']
Time: 04/30/2024 16:51 | Guild: 5 | User: 14 | Cmd: Fscore/Scores | Flags: ['Else Hit']
Time: 04/30/2024 16:52 | Guild: 5 | User: 14 | Cmd: Fscore/Scores | Flags: ['Else Hit']
Time: 04/30/2024 16:53 | Guild: 5 | User: 14 | Cmd: Fscore/Scores | Flags: ['Else Hit']
Time: 05/25/2024 10:26 | Guild: 1 | User: 1 | Cmd: Xdcore/Scores | Flags: ['Length of list Error']
Time: 05/25/2024 10:30 | Guild: 1 | User: 1 | Cmd: Xdcore/Scores | Flags: ['Length of list Error']
Time: 05/25/2024 10:34 | Guild: 1 | User: 1 | Cmd: Xdcore/Scores | Flags: ["ValueError: invalid literal for int() with base 10: '340.'"]
Time: 05/27/2024 10:26 | Guild: 1 | User: 1 | Cmd: Xdcore/Scores | Flags: ["TypeError: expected string or bytes-like object, got 'list'"]
Time: 05/27/2024 10:28 | Guild: 1 | User: 1 | Cmd: Xdcore/Scores | Flags: ["TypeError: expected string or bytes-like object, got 'list'"]
Time: 05/29/2024 15:42 | Guild: 1 | User: 1 | Cmd: apexReader | Flags: [2]
