Time: 2024-04-14 15:51:29.773469 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-14 15:53:23.789084 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-14 16:05:35.740095 | Guild: 5 | User: 9 | Cmd: FinalsReader | Flags: [3]
Time: 2024-04-14 16:07:46.062678 | Guild: 5 | User: 9 | Cmd: FinalsReader | Flags: [3]
Time: 2024-04-14 16:10:44.778189 | Guild: 5 | User: 9 | Cmd: FinalsReader | Flags: [3]
Time: 2024-04-14 16:15:53.289385 | Guild: 5 | User: 9 | Cmd: FinalsReader | Flags: [4]
Time: 2024-04-14 16:38:54.130130 | Guild: 5 | User: 9 | Cmd: FinalsReader | Flags: [2, 2]
Time: 2024-04-14 16:41:47.446035 | Guild: 5 | User: 9 | Cmd: FinalsReader | Flags: [2, 2]
Time: 2024-04-14 17:05:13.696360 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-14 17:05:13.698359 | Guild: 5 | User: 9 | Cmd: DBUpdate | Flags: [OperationalError('no such column: score')]
Time: 2024-04-14 17:05:14.535357 | Guild: 5 | User: 9 | Cmd: DBUpdate | Flags: [OperationalError('no such column: score')]
Time: 2024-04-14 17:06:16.001555 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-14 17:06:16.012565 | Guild: 5 | User: 9 | Cmd: DBUpdate | Flags: [2]
Time: 2024-04-14 17:06:16.856565 | Guild: 5 | User: 9 | Cmd: DBUpdate | Flags: [2]
Time: 2024-04-14 20:11:31.970835 | Guild: 5 | User: 9 | Cmd: DBUpdate | Flags: [2]
Time: 2024-04-15 08:29:04.625900 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-15 08:30:16.398837 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-15 08:30:18.527858 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-15 08:30:20.730988 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-15 08:30:22.768797 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-15 08:33:03.148276 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-15 09:14:39.696551 | Guild: 5 | User: 9 | Cmd: apexReader | Flags: [2, 2]
Time: 2024-04-21 12:23:25.562160 | Guild: 5 | User: 11 | Cmd: DBUpdate | Flags: [2]
Time: 2024-04-21 12:23:57.596411 | Guild: 5 | User: 11 | Cmd: DBUpdate | Flags: [2]
Time: 2024-04-21 12:28:03.227755 | Guild: 5 | User: 12 | Cmd: DBUpdate | Flags: [2]
Time: 2024-04-21 12:31:31.885027 | Guild: 5 | User: 13 | Cmd: DBUpdate | Flags: [2]
Time: 04/25/2024 08:36 | Guild: 5 | User: 13 | Cmd: DBUpdate | Flags: [2]
Time: 04/25/2024 08:39 | Guild: 5 | User: 13 | Cmd: DBUpdate | Flags: [2]
Time: 04/25/2024 08:42 | Guild: 5 | User: 13 | Cmd: DBUpdate | Flags: [2]
Time: 04/25/2024 09:55 | Guild: 5 | User: 13 | Cmd: DBUpdate | Flags: [2]
Time: 04/25/2024 09:58 | Guild: 5 | User: 13 | Cmd: DBUpdate | Flags: [2]
Time: 04/27/2024 11:39 | Guild: 5 | User: 14 | Cmd: DBUpdate | Flags: [2]
Time: 04/30/2024 16:42 | Guild: 5 | User: 14 | Cmd: DBUpdate | Flags: [2]
Time: 05/27/2024 10:32 | Guild: 1 | User: 1 | Cmd: DBUpdate | Flags: [2]
Time: 05/29/2024 15:42 | Guild: 1 | User: 1 | Cmd: DBUpdate | Flags: [2]
Time: 05/29/2024 15:56 | Guild: 1 | User: 1 | Cmd: DBUpdate | Flags: [2]
