Time: 2024-04-16 11:26:14.321910 | bugsId: 10 | guildId: 5 | file: apex_sc/5/apexSc10.jpg| Flags: []
Time: 2024-04-17 20:33:02.383676 | bugsId: 10 | guildId: 5 | file: apex_sc/5/apexSc10.jpg| Flags: []
Time: 2024-04-21 11:07:03.635805 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:11:16.197985 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:13:00.657383 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:13:29.449446 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:15:02.241122 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:16:15.584607 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:17:16.747118 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:18:20.602995 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:19:50.028348 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:21:22.100696 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:24:42.425481 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:25:55.934873 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:30:46.581739 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:34:52.344166 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:38:31.936376 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:40:36.667595 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
Time: 2024-04-21 11:43:23.373327 | bugsId: 11 | guildId: 5 | file: apex_sc/5/apexSc11.jpg| Flags: []
