Time: 2024-04-16 13:48:39.078244 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [3]
Time: 2024-04-16 13:49:25.235958 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [3]
Time: 2024-04-16 13:50:35.597242 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [4]
Time: 2024-04-16 13:51:36.999433 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [4]
Time: 2024-04-16 13:52:31.476390 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [4]
Time: 2024-04-16 13:53:15.041269 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [4]
Time: 2024-04-16 13:55:30.036710 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [2]
Time: 2024-04-16 13:56:54.321874 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [2]
Time: 2024-04-16 13:58:46.078331 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [2]
Time: 2024-04-16 14:01:59.273407 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [2]
Time: 2024-04-16 14:03:56.866416 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: [2]
Time: 2024-04-17 20:29:13.838417 | bugsId: 9 | guildId: 5 | file: finals_sc/5/finalsSc9.jpg| Flags: []
Time: 2024-04-21 11:56:19.299104 | bugsId: 11 | guildId: 5 | file: finals_sc/5/finalsSc11.jpg| Flags: []
Time: 2024-04-21 12:08:32.188673 | bugsId: 11 | guildId: 5 | file: finals_sc/5/finalsSc11.jpg| Flags: []
Time: 2024-04-21 12:09:44.355772 | bugsId: 11 | guildId: 5 | file: finals_sc/5/finalsSc11.jpg| Flags: []
Time: 2024-04-21 12:10:30.475717 | bugsId: 11 | guildId: 5 | file: finals_sc/5/finalsSc11.jpg| Flags: []
Time: 2024-04-21 12:12:34.083519 | bugsId: 11 | guildId: 5 | file: finals_sc/5/finalsSc11.jpg| Flags: []
Time: 04/30/2024 16:43 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:44 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:45 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:48 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:48 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:49 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:49 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:49 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:51 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:52 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:52 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:53 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
Time: 04/30/2024 16:53 | bugsId: 14 | guildId: 5 | file: finals_sc/5/finalsSc14.jpg| Flags: []
