Time: 2023-09-08 19:14:50.484037 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-08 19:15:07.409642 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-09 11:34:21.962741 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-09 11:35:07.220569 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-11 17:40:23.820782 | User: purplestoke#0 | Cmd: Awipe | Flags: [2]
Time: 2023-09-15 12:19:46.520870 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-15 12:20:08.740859 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-15 12:22:02.578425 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-15 12:22:22.490016 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 3]
Time: 2023-09-15 12:23:45.963637 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-15 12:24:02.058231 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 3]
Time: 2023-09-15 12:25:12.485796 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-15 12:25:27.705669 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-23 20:29:23.289732 | Guild: bugs | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-23 20:30:05.600369 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-23 20:30:18.608243 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-25 09:37:31.064654 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-25 09:37:55.949754 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-25 12:41:43.254548 | User: purplestoke#0 | Cmd: Awipe | Flags: [2]
Time: 2023-09-25 12:42:31.345369 | User: purplestoke#0 | Cmd: Awipe | Flags: [2]
Time: 2023-09-25 12:42:45.513567 | User: purplestoke#0 | Cmd: Awipe | Flags: [2]
Time: 2023-09-25 20:39:13.988922 | User: purplestoke#0 | Cmd: Awipe | Flags: [2]
Time: 2023-09-27 12:00:27.988491 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-27 12:01:05.040192 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-09-28 10:28:21.227305 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-09-28 10:28:42.593336 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
Time: 2023-10-26 17:54:34.130670 | Guild: Test | Cmd: Leftbugs | Flags: [2]
Time: 2023-10-26 17:55:07.953524 | Guild: Test | Cmd: channelSetup | Flags: [2, 2, 2, 2]
