
Time: 2023-09-08 19:21:09.462543 | User: 1 | Cmd: Aon | Flags: [2, 2]
Time: 2023-09-12 11:20:14.198035 | Guild: 1058918601987469404 | User: 1 | Cmd: walletBal | Flags: [2, 2]
Time: 2023-09-23 20:21:37.329757 | Guild: 1058918601987469404 | User: None | Cmd: Aon | Flags: [3, 2]
Time: 2023-09-23 20:21:45.331780 | Guild: 1058918601987469404 | User: None | Cmd: Aoff | Flags: [3, 2]
Time: 2023-09-25 09:59:43.666423 | Guild: 1058918601987469404 | User: None | Cmd: Aoff | Flags: [3]
Time: 2023-09-25 10:00:19.597783 | Guild: 1058918601987469404 | User: None | Cmd: Aoff | Flags: [3]
Time: 2023-09-25 10:00:34.858210 | Guild: 1058918601987469404 | User: None | Cmd: Aon | Flags: [3, 3]
Time: 2023-09-25 12:31:24.085628 | Guild: 1058918601987469404 | User: None | Cmd: Aoff | Flags: [3]
Time: 2023-09-25 12:32:51.839906 | Guild: 1058918601987469404 | User: None | Cmd: ApexPmntOn | Flags: [3]
Time: 2023-09-25 12:33:06.748659 | Guild: 1058918601987469404 | User: None | Cmd: ApexPmntOff | Flags: [3]
Time: 2023-09-25 12:33:24.981622 | Guild: 1058918601987469404 | User: None | Cmd: XdefPmntOn | Flags: [3]
Time: 2023-09-25 12:33:42.718173 | Guild: 1058918601987469404 | User: None | Cmd: XdefPmntOff | Flags: [3]
Time: 2023-09-25 20:58:06.237985 | Guild: 1058918601987469404 | User: None | Cmd: walletBal | Flags: [3, 2]
Time: 2023-09-25 20:59:42.480062 | Guild: 1058918601987469404 | User: None | Cmd: walletBal | Flags: [3, 2]
Time: 2023-09-26 11:00:15.893576 | Guild: 1058918601987469404 | User: 1 | Cmd: Aon | Flags: [2, 3]
Time: 2023-09-26 11:01:32.379772 | Guild: 1058918601987469404 | User: 1 | Cmd: Aon | Flags: [2, 3]
Time: 2023-09-26 11:02:35.116450 | Guild: 1058918601987469404 | User: 1 | Cmd: Aon | Flags: [2, 2]
Time: 2023-09-26 11:02:40.389867 | Guild: 1058918601987469404 | User: 1 | Cmd: Aoff | Flags: [2, 2]
Time: 2023-09-26 11:02:46.510415 | Guild: 1058918601987469404 | User: 1 | Cmd: Aon | Flags: [2, 2]
Time: 2023-10-31 14:07:27.531218 | Guild: 1058918601987469404 | User: 5 | Cmd: Aon | Flags: [2, 2]
Time: 2023-10-31 14:08:46.007403 | Guild: 1058918601987469404 | User: 5 | Cmd: ApexPmntOn | Flags: [2]
