

Time: 2023-09-08 19:18:39.731388 | User: None | Cmd: Bcreate | Flags: [3, 2, 2]
Time: 2023-09-08 19:19:18.458124 | User: None | Cmd: Bcreate | Flags: [3, 2, 2, 2]
Time: 2023-09-08 19:36:07.810956 | User: None | Cmd: Bcreate | Flags: [3, 2, 2]
Time: 2023-09-08 19:36:14.220135 | User: None | Cmd: Bcreate | Flags: [3, 2, 2]
Time: 2023-09-08 19:39:45.314233 | User: None | Cmd: Bcreate | Flags: [3, 2, 2, 2]
Time: 2023-09-08 19:57:41.658016 | User: 2 | Cmd: Acreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-08 20:00:55.348753 | User: 2 | Cmd: Xcreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 15:43:13.202495 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 15:43:34.666447 | Guild: 1058918601987469404 | User: 1 | Cmd: Xcreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 15:54:49.551212 | Guild: 1058918601987469404 | User: 1 | Cmd: Adelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 16:05:04.654837 | Guild: 1058918601987469404 | User: 1 | Cmd: delete | Flags: [2, 2, 2]
Time: 2023-09-11 16:06:31.380049 | Guild: 1058918601987469404 | User: 1 | Cmd: Xcreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 16:06:38.502842 | Guild: 1058918601987469404 | User: 1 | Cmd: Xdelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 16:12:46.825588 | Guild: 1058918601987469404 | User: 1 | Cmd: Xcreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 16:12:58.886067 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 16:13:19.276749 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 16:13:47.237102 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 16:14:13.968947 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 17:38:53.380860 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 17:39:42.699049 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 17:40:47.033668 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 17:41:05.296922 | Guild: 1058918601987469404 | User: 1 | Cmd: create | Flags: [2, 2, 5]
Time: 2023-09-11 17:42:26.429883 | Guild: 1058918601987469404 | User: 1 | Cmd: Xcreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 17:42:33.300503 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 17:42:45.020729 | Guild: 1058918601987469404 | User: 1 | Cmd: Aretrieve | Flags: [2, 2, 2, 2]
Time: 2023-09-11 17:42:53.736639 | Guild: 1058918601987469404 | User: 1 | Cmd: Xretrieve | Flags: [2, 2, 2, 2]
Time: 2023-09-11 17:43:11.042439 | Guild: 1058918601987469404 | User: 1 | Cmd: Adelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-11 17:43:18.764626 | Guild: 1058918601987469404 | User: 1 | Cmd: Xdelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-12 09:47:58.191854 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-19 11:22:48.136647 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2, 2, 2]
Time: 2023-09-19 15:25:47.977001 | Guild: 1058918601987469404 | User: 1 | Cmd: Aretrieve | Flags: [2, 2, 2, 2]
Time: 2023-09-28 11:15:05.518061 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [3, 2, 'No Transaction Found']
Time: 2023-09-28 11:15:54.986310 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [3, 2, 2]
