Time: 2023-09-08 19:21:09.871098 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:21:21.329827 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:22:47.830883 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:22:55.186995 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:31:30.944693 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-08 19:35:40.776466 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:36:14.449331 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:39:45.675648 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 19:57:42.327996 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 20:00:55.971750 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 20:04:19.097647 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-08 20:04:30.168865 | User: 2 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-08 20:04:40.184471 | User: 2 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-09-09 11:08:43.622373 | User: 2 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-09 11:09:40.445017 | User: 2 | Cmd: Xsc | Flags: [2, 2, 2, 2]
Time: 2023-09-09 11:10:04.877540 | User: 2 | Cmd: XscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-09-18 12:59:18.250330 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-18 13:00:58.977963 | Guild: 1058918601987469404 | User: 1 | Cmd: score | Flags: [2, 3]
Time: 2023-09-18 15:05:58.529052 | Guild: 1058918601987469404 | User: 1 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-09-18 15:06:05.616271 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-18 15:40:53.112013 | Guild: 1058918601987469404 | User: 1 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-09-18 15:41:02.288665 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-18 15:43:16.594467 | Guild: 1058918601987469404 | User: 1 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-09-18 15:43:23.966767 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-18 15:45:19.852644 | Guild: 1058918601987469404 | User: 1 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-09-18 15:45:44.330174 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-18 15:49:07.192968 | Guild: 1058918601987469404 | User: 1 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-09-19 11:22:49.043657 | Guild: 1058918601987469404 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-09-19 15:25:48.167731 | Guild: 1058918601987469404 | User: None | Cmd: Asc | Flags: [2, 3, 2]
Time: 2023-10-31 15:58:01.003993 | Guild: 1058918601987469404 | User: 5 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-10-31 16:02:46.282931 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2, 2]
Time: 2023-11-07 18:28:54.536596 | Guild: 1058918601987469404 | User: 5 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-11-07 18:32:18.298275 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:32:29.547174 | Guild: 1058918601987469404 | User: 5 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-11-07 18:34:54.363501 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:37:09.460532 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:38:35.723273 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:39:08.356190 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:41:29.213871 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:41:34.126926 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 3]
Time: 2023-11-07 18:43:41.702096 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:48:01.095797 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-07 18:49:38.112508 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 11:39:55.638160 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 11:41:44.865761 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 11:43:55.190441 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 11:44:35.586727 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 11:45:29.590379 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 12:02:33.951128 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 12:03:12.174646 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 12:06:24.005579 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-08 18:31:23.598075 | Guild: 1058918601987469404 | User: 5 | Cmd: Asc | Flags: [2, 2, 2, 2]
Time: 2023-11-09 10:18:20.735349 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
Time: 2023-11-09 10:26:50.526227 | Guild: 1058918601987469404 | User: 5 | Cmd: AscDelete | Flags: [2, 2, 2, 2, 2]
